Theta1,Theta2,Theta3,x0,y0,z0
-40,0,-28,133.9262227,-127.2250435,-679.1344261
-40,0,-24,146.508056,-111.2672326,-685.461993
-40,0,-20,159.466625,-94.57816219,-691.5052558
-40,0,-16,172.7870845,-77.15263536,-697.2118362
-40,0,-12,186.4540697,-58.9857702,-702.5284516
-40,0,-8,200.4514163,-40.07333368,-707.4007343
-40,0,-4,214.7619017,-20.4120661,-711.7730955
-40,0,0,229.3670053,0,-715.5886311
-40,0,4,244.2466843,21.16322458,-718.7890674
-40,0,8,259.3791645,43.07604682,-721.3147457
-40,0,12,274.7407454,65.73467351,-723.104645
-40,0,16,290.3056197,89.13276893,-724.0964415
-40,0,20,306.045706,113.2611471,-724.2266051
-40,0,24,321.9304975,138.1074672,-723.4305319
-40,0,28,337.9269248,163.6559343,-721.6427119
-40,0,32,353.9992363,189.8870061,-718.7969306
-40,0,36,370.1088952,216.7771099,-714.8265041
-40,0,40,386.2144946,244.2983699,-709.6645446
-40,0,44,402.2716929,272.4183493,-703.2442554
-40,0,48,418.2331675,301.0998095,-695.4992507
-40,0,52,434.0485912,330.3004887,-686.3638985
-40,0,56,449.6646271,359.9729032,-675.7736807
-40,0,60,465.0249461,390.0641737,-663.6655645
-40,0,64,480.0702626,420.5158797,-649.97838
-40,0,68,494.7383888,451.2639427,-634.6531945
-40,0,72,508.964305,482.2385395,-617.6336736
-40,0,76,522.6802402,513.3640476,-598.8664193
-40,0,80,535.8157604,544.5590194,-578.3012682
-40,4,-40,110.6248763,-191.6079063,-659.5259714
-40,4,-36,122.3271779,-177.8446486,-666.6754337
-40,4,-32,134.4396095,-163.3693227,-673.6887712
-40,4,-28,146.9466647,-148.17604,-680.5158966
-40,4,-24,159.8332539,-132.2582069,-687.1066155
-40,4,-20,173.0843448,-115.6088804,-693.4102943
-40,4,-16,186.6846392,-98.22110096,-699.3755824
-40,4,-12,200.6182781,-80.08821007,-704.9501825
-40,4,-8,214.8685697,-61.20415776,-710.080665
-40,4,-4,229.4177376,-41.56380514,-714.7123234
-40,4,0,244.2466843,-21.16322458,-718.7890674
-40,4,4,259.3347691,0,-722.2533535
-40,4,8,274.6595992,21.92647148,-725.046151
-40,4,12,290.1968324,44.61467566,-727.1069427
-40,4,16,305.9199921,68.06067508,-728.3737604
-40,4,20,321.8002939,92.25780085,-728.7832554
-40,4,24,337.8064848,117.1963433,-728.2708021
-40,4,28,353.9046957,142.8632428,-726.770636
-40,4,32,370.0583074,169.2417824,-724.2160248
-40,4,36,386.2278318,196.311284,-720.5394717
-40,4,40,402.3708097,224.0468106,-715.6729506
-40,4,44,418.441724,252.4188776,-709.54817
-40,4,48,434.3919325,281.3931748,-702.0968644
-40,4,52,450.1696181,310.9303027,-693.2511097
-40,4,56,465.7197579,340.9855266,-682.9436583
-40,4,60,480.9841117,371.5085501,-671.108289
-40,4,64,495.9012269,402.4433113,-657.6801643
-40,4,68,510.4064613,433.7278044,-642.5961879
-40,4,72,524.4320174,465.2939278,-625.7953515
-40,4,76,537.906987,497.0673591,-607.219059
-40,4,80,550.7573972,528.9674574,-586.8114111
-40,8,-40,123.0229349,-213.0819738,-659.446467
-40,8,-36,135.0597537,-199.359825,-666.8687767
-40,8,-32,147.493852,-184.9309628,-674.1487792
-40,8,-28,160.3095452,-169.7876782,-681.2377559
-40,8,-24,173.4914962,-153.9216246,-688.0868341
-40,8,-20,187.024372,-137.3241339,-694.6466602
-40,8,-16,200.8925339,-119.9865145,-700.867124
-40,8,-12,215.0797521,-101.9003383,-706.6971258
-40,8,-8,229.5689427,-83.0577227,-712.0843848
-40,8,-4,244.3419203,-63.45160969,-716.9752833
-40,8,0,259.3791645,-43.07604682,-721.3147457
-40,8,4,274.6595992,-21.92647148,-725.046151
-40,8,8,290.1603816,0,-728.1112775
-40,8,12,305.8567008,22.70427714,-730.4502792
-40,8,16,321.7215866,46.18499391,-732.0016937
-40,8,20,337.7257265,70.43820086,-732.702483
-40,8,24,353.8372938,95.45705153,-732.4881043
-40,8,28,370.0217845,121.2314838,-731.2926149
-40,8,32,386.2418672,147.7478976,-729.0488073
-40,8,36,402.4572432,174.9888305,-725.6883773
-40,8,40,418.6245218,202.9326337,-721.1421225
-40,8,44,434.697108,231.5531496,-715.3401709
-40,8,48,450.6251065,260.8193949,-708.2122382
-40,8,52,466.3552417,290.6952516,-699.6879098
-40,8,56,481.8307929,321.139168,-689.6969457
-40,8,60,496.9915468,352.1038741,-678.169602
-40,8,64,511.7737649,383.5361139,-665.036963
-40,8,68,526.1101646,415.3763962,-650.2312762
-40,8,72,539.9299098,447.5587674,-633.6862778
-40,8,76,553.158608,480.0106067,-615.3374978
